"CPI All Groups for New Zealand (Qrtly-Mar/Jun/Sep/Dec)",""
"","All groups"
"1914Q2",12.869674
"1914Q3",0.000000
"1914Q4",0.000000
"1915Q1",0.000000
"1915Q2",0.000000
"1915Q3",13.924987
"1915Q4",0.000000
"1916Q1",0.000000
"1916Q2",0.000000
"1916Q3",15.031779
"1916Q4",0.000000
"1917Q1",0.000000
"1917Q2",0.000000
"1917Q3",16.498922
"1917Q4",0.000000
"1918Q1",0.000000
"1918Q2",0.000000
"1918Q3",18.532330
"1918Q4",0.000000
"1919Q1",19.626252
"1919Q2",0.000000
"1919Q3",20.243997
"1919Q4",0.000000
"1920Q1",21.955663
"1920Q2",0.000000
"1920Q3",23.358458
"1920Q4",0.000000
"1921Q1",23.873244
"1921Q2",0.000000
"1921Q3",22.933758
"1921Q4",0.000000
"1922Q1",21.234961
"1922Q2",0.000000
"1922Q3",20.462781
"1922Q4",0.000000
"1923Q1",20.218257
"1923Q2",0.000000
"1923Q3",20.385563
"1923Q4",0.000000
"1924Q1",20.861741
"1924Q2",0.000000
"1924Q3",20.617217
"1924Q4",0.000000
"1925Q1",20.539999
"1925Q2",0.000000
"1925Q3",20.990437
"1925Q4",21.054785
"1926Q1",20.900350
"1926Q2",20.990437
"1926Q3",21.016177
"1926Q4",20.926089
"1927Q1",20.887480
"1927Q2",20.810262
"1927Q3",20.720175
"1927Q4",20.733044
"1928Q1",20.733044
"1928Q2",20.861741
"1928Q3",20.758783
"1928Q4",20.861741
"1929Q1",20.745914
"1929Q2",20.707304
"1929Q3",20.762972
"1929Q4",20.762972
"1930Q1",20.618066
"1930Q2",20.493861
"1930Q3",20.286852
"1930Q4",19.934937
"1931Q1",19.293210
"1931Q2",18.899894
"1931Q3",18.444475
"1931Q4",18.382373
"1932Q1",18.113261
"1932Q2",17.368029
"1932Q3",16.995414
"1932Q4",16.684901
"1933Q1",16.498593
"1933Q2",16.477892
"1933Q3",16.477892
"1933Q4",16.560696
"1934Q1",16.643499
"1934Q2",16.809106
"1934Q3",16.705602
"1934Q4",16.767705
"1935Q1",17.098918
"1935Q2",17.285226
"1935Q3",17.347329
"1935Q4",17.699244
"1936Q1",17.388731
"1936Q2",17.719945
"1936Q3",18.009757
"1936Q4",18.278868
"1937Q1",18.589381
"1937Q2",19.024100
"1937Q3",19.189706
"1937Q4",19.603723
"1938Q1",19.520920
"1938Q2",19.686527
"1938Q3",19.707228
"1938Q4",19.727929
"1939Q1",20.059143
"1939Q2",20.348955
"1939Q3",20.597365
"1939Q4",21.239092
"1940Q1",20.969981
"1940Q2",21.301195
"1940Q3",21.570307
"1940Q4",21.818717
"1941Q1",21.860118
"1941Q2",22.129230
"1941Q3",22.212033
"1941Q4",22.646751
"1942Q1",22.356940
"1942Q2",22.708854
"1942Q3",23.143573
"1942Q4",23.536889
"1943Q1",23.247077
"1943Q2",23.309179
"1943Q3",23.557590
"1943Q4",23.868103
"1944Q1",23.661094
"1944Q2",23.785299
"1944Q3",23.950906
"1944Q4",24.220018
"1945Q1",24.075112
"1945Q2",24.095812
"1945Q3",24.220018
"1945Q4",24.530531
"1946Q1",24.302821
"1946Q2",24.344223
"1946Q3",24.530531
"1946Q4",24.489129
"1947Q1",24.385625
"1947Q2",24.551232
"1947Q3",24.965249
"1947Q4",26.973233
"1948Q1",26.849028
"1948Q2",27.159541
"1948Q3",27.345849
"1948Q4",27.407952
"1949Q1",27.407952
"1949Q2",27.462768
"1949Q3",27.791663
"1949Q4",27.901294
"1950Q1",27.956111
"1950Q2",28.833165
"1950Q3",29.792444
"1950Q4",30.285786
"1951Q1",30.724314
"1951Q2",32.039896
"1951Q3",33.081397
