"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,26274,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,42630,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,33408,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,29928,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,26883,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,29058,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,29841,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,28362,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,41412,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,24708,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,31494,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,28884,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,30537,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,28449,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,29232,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2001-03-31,29232,"LEED interpolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2001-03-31,34452,"LEED interpolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,24621,"LEED interpolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,28710,"LEED interpolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,26187,"LEED interpolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,24186,"LEED interpolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,25752,"LEED interpolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,36888,"LEED interpolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,35409,"LEED interpolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,35061,"LEED interpolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,36627,"LEED interpolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,33321,"LEED interpolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,32886,"LEED interpolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,30624,"LEED interpolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,32103,"LEED interpolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,30798,"LEED interpolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,29058,"LEED interpolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,33234,"LEED interpolated"
