"date","index","area"
2003-12-31,1,"New Zealand"
2003-12-31,1,"Auckland"
2003-12-31,1,"Bay of Plenty"
2003-12-31,1,"Canterbury"
2003-12-31,1,"Gisborne"
2003-12-31,1,"Hawke's Bay"
2003-12-31,1,"Manawatu-Whanganui"
2003-12-31,1,"Marlborough"
2003-12-31,1,"Nelson"
2003-12-31,1,"Northland"
2003-12-31,1,"Otago"
2003-12-31,1,"Southland"
2003-12-31,1,"Taranaki"
2003-12-31,1,"Tasman"
2003-12-31,1,"Waikato"
2003-12-31,1,"Wellington"
2003-12-31,1,"West Coast"
2004-03-31,1.019,"New Zealand"
2004-03-31,1.019,"Auckland"
2004-03-31,1.02,"Bay of Plenty"
2004-03-31,1.017,"Canterbury"
2004-03-31,1.024,"Gisborne"
2004-03-31,1.019,"Hawke's Bay"
2004-03-31,1.015,"Manawatu-Whanganui"
2004-03-31,1.021,"Marlborough"
2004-03-31,1.023,"Nelson"
2004-03-31,1.02,"Northland"
2004-03-31,1.021,"Otago"
2004-03-31,1.016,"Southland"
2004-03-31,1.015,"Taranaki"
2004-03-31,1.019,"Tasman"
2004-03-31,1.019,"Waikato"
2004-03-31,1.016,"Wellington"
2004-03-31,1.018,"West Coast"
2004-06-30,1.033,"New Zealand"
2004-06-30,1.032,"Auckland"
2004-06-30,1.034,"Bay of Plenty"
2004-06-30,1.031,"Canterbury"
2004-06-30,1.041,"Gisborne"
2004-06-30,1.035,"Hawke's Bay"
2004-06-30,1.027,"Manawatu-Whanganui"
2004-06-30,1.039,"Marlborough"
2004-06-30,1.036,"Nelson"
2004-06-30,1.034,"Northland"
2004-06-30,1.031,"Otago"
2004-06-30,1.024,"Southland"
2004-06-30,1.028,"Taranaki"
2004-06-30,1.033,"Tasman"
2004-06-30,1.032,"Waikato"
2004-06-30,1.03,"Wellington"
2004-06-30,1.033,"West Coast"
2004-09-30,1.046,"New Zealand"
2004-09-30,1.047,"Auckland"
2004-09-30,1.049,"Bay of Plenty"
2004-09-30,1.047,"Canterbury"
2004-09-30,1.06,"Gisborne"
2004-09-30,1.049,"Hawke's Bay"
2004-09-30,1.041,"Manawatu-Whanganui"
2004-09-30,1.055,"Marlborough"
2004-09-30,1.049,"Nelson"
2004-09-30,1.05,"Northland"
2004-09-30,1.041,"Otago"
2004-09-30,1.038,"Southland"
2004-09-30,1.042,"Taranaki"
2004-09-30,1.051,"Tasman"
2004-09-30,1.044,"Waikato"
2004-09-30,1.039,"Wellington"
2004-09-30,1.047,"West Coast"
2004-12-31,1.057,"New Zealand"
2004-12-31,1.058,"Auckland"
2004-12-31,1.062,"Bay of Plenty"
2004-12-31,1.06,"Canterbury"
2004-12-31,1.069,"Gisborne"
2004-12-31,1.062,"Hawke's Bay"
2004-12-31,1.047,"Manawatu-Whanganui"
2004-12-31,1.069,"Marlborough"
2004-12-31,1.067,"Nelson"
2004-12-31,1.063,"Northland"
2004-12-31,1.053,"Otago"
2004-12-31,1.044,"Southland"
2004-12-31,1.055,"Taranaki"
2004-12-31,1.062,"Tasman"
2004-12-31,1.054,"Waikato"
2004-12-31,1.047,"Wellington"
2004-12-31,1.074,"West Coast"
2005-03-31,1.073,"New Zealand"
2005-03-31,1.072,"Auckland"
2005-03-31,1.077,"Bay of Plenty"
2005-03-31,1.077,"Canterbury"
2005-03-31,1.082,"Gisborne"
2005-03-31,1.075,"Hawke's Bay"
2005-03-31,1.064,"Manawatu-Whanganui"
2005-03-31,1.085,"Marlborough"
2005-03-31,1.08,"Nelson"
2005-03-31,1.081,"Northland"
2005-03-31,1.066,"Otago"
2005-03-31,1.056,"Southland"
2005-03-31,1.071,"Taranaki"
2005-03-31,1.077,"Tasman"
2005-03-31,1.066,"Waikato"
2005-03-31,1.06,"Wellington"
2005-03-31,1.096,"West Coast"
2005-06-30,1.089,"New Zealand"
2005-06-30,1.087,"Auckland"
2005-06-30,1.095,"Bay of Plenty"
2005-06-30,1.096,"Canterbury"
2005-06-30,1.091,"Gisborne"
2005-06-30,1.087,"Hawke's Bay"
2005-06-30,1.078,"Manawatu-Whanganui"
