"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)",""
"","As at"
" ","Total"
" ","18 Years and Over"
"1991Q1",2514500
"1991Q2",2520700
"1991Q3",2529100
"1991Q4",2540000
"1992Q1",2549000
"1992Q2",2554500
"1992Q3",2561400
"1992Q4",2573200
"1993Q1",2582800
"1993Q2",2588600
"1993Q3",2597000
"1993Q4",2609300
"1994Q1",2619500
"1994Q2",2626200
"1994Q3",2635200
"1994Q4",2648800
"1995Q1",2659900
"1995Q2",2666600
"1995Q3",2677300
"1995Q4",2691400
"1996Q1",2702900
"1996Q2",2709200
"1996Q3",2719400
"1996Q4",2733200
"1997Q1",2743100
"1997Q2",2748000
"1997Q3",2756100
"1997Q4",2765900
"1998Q1",2772500
"1998Q2",2775600
"1998Q3",2781000
"1998Q4",2789600
"1999Q1",2793600
"1999Q2",2795400
"1999Q3",2800700
"1999Q4",2809700
"2000Q1",2813100
"2000Q2",2814500
"2000Q3",2820700
"2000Q4",2829300
"2001Q1",2832400
"2001Q2",2836000
"2001Q3",2848500
"2001Q4",2866600
"2002Q1",2882200
"2002Q2",2893100
"2002Q3",2908900
"2002Q4",2928400
"2003Q1",2948000
"2003Q2",2959800
"2003Q3",2974900
"2003Q4",2990700
"2004Q1",3004600
"2004Q2",3012500
"2004Q3",3024100
"2004Q4",3038300
"2005Q1",3048900
"2005Q2",3056000
"2005Q3",3067400
"2005Q4",3082200
"2006Q1",3095700
"2006Q2",3103300
"2006Q3",3113500
"2006Q4",3126700
"2007Q1",3135400
"2007Q2",3139000
"2007Q3",3148400
"2007Q4",3159800
"2008Q1",3168500
"2008Q2",3172300
"2008Q3",3181500
"2008Q4",3192900
"2009Q1",3204900
"2009Q2",3213000
"2009Q3",3225700
"2009Q4",3239400
"2010Q1",3250900
"2010Q2",3254500
"2010Q3",3265200
"2010Q4",3276200
"2011Q1",3284100
"2011Q2",3286100
"2011Q3",3294400
"2011Q4",3303200
"2012Q1",3309700
"2012Q2",3311500
"2012Q3",3319100
"2012Q4",3329800
"2013Q1",3340100
"2013Q2",3346900
"2013Q3",3363200
"2013Q4",3382800
"2014Q1",3404900
"2014Q2",3419400
"2014Q3",3442100
"2014Q4",3465500
"2015Q1",3489800
"2015Q2",3506200
"2015Q3",3531100
"2015Q4",3557100
"2016Q1",3583900
"2016Q2",3600800
"2016Q3",3624100
"2016Q4",3647900
"2017Q1",3672400
"2017Q2",3687300
"2017Q3",3707100
"2017Q4",3728400
"2018Q1",3751900
"2018Q2",3765800
"2018Q3",3784900
"2018Q4",3803600
"2019Q1",3824100
"2019Q2",3835900
"2019Q3",3860100
"2019Q4",3891200
"2020Q1",3927800
"2020Q2",3935500
"2020Q3",3943600
"2020Q4",3949000
"2021Q1",3952900
"2021Q2",3954800
"2021Q3",3957900
"2021Q4",3959500
"2022Q1",3960500
"2022Q2",3963500
"2022Q3",3973500
"2022Q4",3995000
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration estimates."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE054AA"
""
"Last updated:"
"18 Years and Over: 20 February 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
