"area","date","dwellings","ann.change"
"Auckland",2006-03-31,471939,NA
"Bay of Plenty",2006-03-31,108210,NA
"Canterbury",2006-03-31,219780,NA
"Gisborne",2006-03-31,17262,NA
"Hawke's Bay",2006-03-31,59976,NA
"Manawatu-Whanganui",2006-03-31,94488,NA
"Marlborough",2006-03-31,20262,NA
"Nelson",2006-03-31,18372,NA
"Northland",2006-03-31,66618,NA
"Otago",2006-03-31,87261,NA
"Southland",2006-03-31,40404,NA
"Taranaki",2006-03-31,43641,NA
"Tasman",2006-03-31,19803,NA
"Waikato",2006-03-31,165675,NA
"Wellington",2006-03-31,181938,NA
"West Coast",2006-03-31,15084,NA
"Auckland",2006-04-30,473380,NA
"Bay of Plenty",2006-04-30,108486,NA
"Canterbury",2006-04-30,220468,NA
"Gisborne",2006-04-30,17273,NA
"Hawke's Bay",2006-04-30,60075,NA
"Manawatu-Whanganui",2006-04-30,94620,NA
"Marlborough",2006-04-30,20330,NA
"Nelson",2006-04-30,18417,NA
"Northland",2006-04-30,66802,NA
"Otago",2006-04-30,87440,NA
"Southland",2006-04-30,40450,NA
"Taranaki",2006-04-30,43730,NA
"Tasman",2006-04-30,19846,NA
"Waikato",2006-04-30,166187,NA
"Wellington",2006-04-30,182397,NA
"West Coast",2006-04-30,15108,NA
"Auckland",2006-05-31,473856,NA
"Bay of Plenty",2006-05-31,108647,NA
"Canterbury",2006-05-31,220688,NA
"Gisborne",2006-05-31,17281,NA
"Hawke's Bay",2006-05-31,60133,NA
"Manawatu-Whanganui",2006-05-31,94698,NA
"Marlborough",2006-05-31,20365,NA
"Nelson",2006-05-31,18431,NA
"Northland",2006-05-31,66892,NA
"Otago",2006-05-31,87551,NA
"Southland",2006-05-31,40514,NA
"Taranaki",2006-05-31,43769,NA
"Tasman",2006-05-31,19864,NA
"Waikato",2006-05-31,166399,NA
"Wellington",2006-05-31,182508,NA
"West Coast",2006-05-31,15123,NA
"Auckland",2006-06-30,474465,NA
"Bay of Plenty",2006-06-30,108788,NA
"Canterbury",2006-06-30,220926,NA
"Gisborne",2006-06-30,17285,NA
"Hawke's Bay",2006-06-30,60202,NA
"Manawatu-Whanganui",2006-06-30,94762,NA
"Marlborough",2006-06-30,20410,NA
"Nelson",2006-06-30,18443,NA
"Northland",2006-06-30,67011,NA
"Otago",2006-06-30,87631,NA
"Southland",2006-06-30,40528,NA
"Taranaki",2006-06-30,43812,NA
"Tasman",2006-06-30,19885,NA
"Waikato",2006-06-30,166629,NA
"Wellington",2006-06-30,182667,NA
"West Coast",2006-06-30,15133,NA
"Auckland",2006-07-31,474979,NA
"Bay of Plenty",2006-07-31,108936,NA
"Canterbury",2006-07-31,221125,NA
"Gisborne",2006-07-31,17289,NA
"Hawke's Bay",2006-07-31,60299,NA
"Manawatu-Whanganui",2006-07-31,94873,NA
"Marlborough",2006-07-31,20434,NA
"Nelson",2006-07-31,18458,NA
"Northland",2006-07-31,67136,NA
"Otago",2006-07-31,87702,NA
"Southland",2006-07-31,40541,NA
"Taranaki",2006-07-31,43851,NA
"Tasman",2006-07-31,19903,NA
"Waikato",2006-07-31,166873,NA
"Wellington",2006-07-31,182773,NA
"West Coast",2006-07-31,15140,NA
"Auckland",2006-08-31,475660,NA
"Bay of Plenty",2006-08-31,109092,NA
"Canterbury",2006-08-31,221412,NA
"Gisborne",2006-08-31,17294,NA
"Hawke's Bay",2006-08-31,60352,NA
"Manawatu-Whanganui",2006-08-31,94931,NA
"Marlborough",2006-08-31,20470,NA
"Nelson",2006-08-31,18465,NA
"Northland",2006-08-31,67249,NA
"Otago",2006-08-31,87825,NA
"Southland",2006-08-31,40566,NA
"Taranaki",2006-08-31,43893,NA
"Tasman",2006-08-31,19919,NA
"Waikato",2006-08-31,167136,NA
"Wellington",2006-08-31,182907,NA
"West Coast",2006-08-31,15160,NA
"Auckland",2006-09-30,476160,NA
"Bay of Plenty",2006-09-30,109284,NA
"Canterbury",2006-09-30,221636,NA
"Gisborne",2006-09-30,17301,NA
"Hawke's Bay",2006-09-30,60423,NA
"Manawatu-Whanganui",2006-09-30,95025,NA
"Marlborough",2006-09-30,20486,NA
"Nelson",2006-09-30,18488,NA
"Northland",2006-09-30,67377,NA
"Otago",2006-09-30,87940,NA
"Southland",2006-09-30,40588,NA
"Taranaki",2006-09-30,43937,NA
"Tasman",2006-09-30,19947,NA
"Waikato",2006-09-30,167420,NA
"Wellington",2006-09-30,183143,NA
"West Coast",2006-09-30,15182,NA
"Auckland",2006-10-31,476589,NA
"Bay of Plenty",2006-10-31,109452,NA
"Canterbury",2006-10-31,221864,NA
"Gisborne",2006-10-31,17329,NA
"Hawke's Bay",2006-10-31,60479,NA
"Manawatu-Whanganui",2006-10-31,95082,NA
"Marlborough",2006-10-31,20506,NA
"Nelson",2006-10-31,18501,NA
"Northland",2006-10-31,67469,NA
"Otago",2006-10-31,88019,NA
"Southland",2006-10-31,40610,NA
"Taranaki",2006-10-31,43978,NA
"Tasman",2006-10-31,19965,NA
"Waikato",2006-10-31,167645,NA
"Wellington",2006-10-31,183291,NA
"West Coast",2006-10-31,15191,NA
"Auckland",2006-11-30,477108,NA
"Bay of Plenty",2006-11-30,109662,NA
"Canterbury",2006-11-30,222148,NA
"Gisborne",2006-11-30,17334,NA
"Hawke's Bay",2006-11-30,60556,NA
"Manawatu-Whanganui",2006-11-30,95143,NA
"Marlborough",2006-11-30,20544,NA
"Nelson",2006-11-30,18531,NA
"Northland",2006-11-30,67578,NA
"Otago",2006-11-30,88181,NA
"Southland",2006-11-30,40640,NA
