"area","date","dwellings"
"Auckland",2001-12-31,428550.6
"Auckland",2002-01-31,429045.55
"Auckland",2002-02-28,429524.35
"Auckland",2002-03-31,430042.1
"Auckland",2002-04-30,430686.2
"Auckland",2002-05-31,431262.85
"Auckland",2002-06-30,431861.35
"Auckland",2002-07-31,432530.15
"Auckland",2002-08-31,433141.95
"Auckland",2002-09-30,433801.25
"Auckland",2002-10-31,434388.35
"Auckland",2002-11-30,435193
"Auckland",2002-12-31,436179.1
"Auckland",2003-01-31,436762.4
"Auckland",2003-02-28,437279.2
"Auckland",2003-03-31,437999.3
"Auckland",2003-04-30,438854.3
"Auckland",2003-05-31,439827.1
"Auckland",2003-06-30,440703.95
"Auckland",2003-07-31,441445.9
"Auckland",2003-08-31,442673.3
"Auckland",2003-09-30,443486.5
"Auckland",2003-10-31,444475.45
"Auckland",2003-11-30,446324.15
"Auckland",2003-12-31,447229.5
"Auckland",2004-01-31,448353.35
"Auckland",2004-02-29,449134.25
"Auckland",2004-03-31,449725.15
"Auckland",2004-04-30,450760.65
"Auckland",2004-05-31,451504.5
"Auckland",2004-06-30,452316.75
"Auckland",2004-07-31,453132.8
"Auckland",2004-08-31,454085.65
"Auckland",2004-09-30,455065.1
"Auckland",2004-10-31,456354.25
"Auckland",2004-11-30,457069.6
"Auckland",2004-12-31,458224.8
"Auckland",2005-01-31,459127.3
"Auckland",2005-02-28,460244.5
"Auckland",2005-03-31,461274.3
"Auckland",2005-04-30,462409.55
"Auckland",2005-05-31,463398.5
"Auckland",2005-06-30,464196.5
"Auckland",2005-07-31,465470.45
"Auckland",2005-08-31,466214.3
"Auckland",2005-09-30,466958.15
"Auckland",2005-10-31,467643.1
"Auckland",2005-11-30,468605.45
"Auckland",2005-12-31,469734.05
"Auckland",2006-01-31,470685
"Auckland",2006-02-28,471248.35
"Auckland",2006-03-31,471939
"Auckland",2006-04-30,473357.980117991
"Auckland",2006-05-31,473831.692150199
"Auckland",2006-06-30,474435.528780426
"Auckland",2006-07-31,474947.199354181
"Auckland",2006-08-31,475622.235109243
"Auckland",2006-09-30,476119.615203597
"Auckland",2006-10-31,476546.685543022
"Auckland",2006-11-30,477063.02615483
"Auckland",2006-12-31,477937.436680086
"Auckland",2007-01-31,478399.591351741
"Auckland",2007-02-28,479143.820209076
"Auckland",2007-03-31,479701.862701952
"Auckland",2007-04-30,480121.217726709
"Auckland",2007-05-31,480724.808347565
"Auckland",2007-06-30,481228.654041697
"Auckland",2007-07-31,481773.318263719
"Auckland",2007-08-31,482356.899322538
"Auckland",2007-09-30,483096.205617294
"Auckland",2007-10-31,483826.936901691
"Auckland",2007-11-30,484281.294053811
"Auckland",2007-12-31,484700.497663538
"Auckland",2008-01-31,485131.080517337
"Auckland",2008-02-29,485566.39484033
"Auckland",2008-03-31,486061.515586553
"Auckland",2008-04-30,486502.492794528
"Auckland",2008-05-31,486954.847573284
"Auckland",2008-06-30,487616.079311753
"Auckland",2008-07-31,488048.456036184
"Auckland",2008-08-31,488692.551086859
"Auckland",2008-09-30,489121.09286799
"Auckland",2008-10-31,489553.41602931
"Auckland",2008-11-30,490032.244723814
"Auckland",2008-12-31,490461.685665382
"Auckland",2009-01-31,490887.312579789
"Auckland",2009-02-28,491387.923968834
"Auckland",2009-03-31,491701.492484101
"Auckland",2009-04-30,492374.849271744
"Auckland",2009-05-31,492672.248330554
"Auckland",2009-06-30,493014.253260765
"Auckland",2009-07-31,493253.72191844
"Auckland",2009-08-31,493506.471030653
"Auckland",2009-09-30,493753.514802576
"Auckland",2009-10-31,493938.84871568
"Auckland",2009-11-30,494239.979774794
"Auckland",2009-12-31,494451.874490168
"Auckland",2010-01-31,494620.098577138
"Auckland",2010-02-28,494819.638397246
"Auckland",2010-03-31,495110.28835807
"Auckland",2010-04-30,495387.639280146
"Auckland",2010-05-31,495788.36374415
"Auckland",2010-06-30,495962.23980411
"Auckland",2010-07-31,496194.002528227
"Auckland",2010-08-31,496391.590173699
"Auckland",2010-09-30,496788.468194978
"Auckland",2010-10-31,497055.315108919
"Auckland",2010-11-30,497362.009794821
"Auckland",2010-12-31,497649.712918382
"Auckland",2011-01-31,497873.824073097
"Auckland",2011-02-28,498157.710303539
"Auckland",2011-03-31,498458.666307939
"Auckland",2011-04-30,498740.632387687
"Auckland",2011-05-31,499035.8720864
"Auckland",2011-06-30,499332.049235432
"Auckland",2011-07-31,499624.419477688
"Auckland",2011-08-31,499921.522613214
"Auckland",2011-09-30,500204.381872274
"Auckland",2011-10-31,500456.868331211
"Auckland",2011-11-30,500791.889653491
"Auckland",2011-12-31,500965.606857617
"Auckland",2012-01-31,501201.9349501
"Auckland",2012-02-29,501472.408322408
"Auckland",2012-03-31,501745.717347137
"Auckland",2012-04-30,501982.016441844
"Auckland",2012-05-31,502196.486612896
"Auckland",2012-06-30,502442.254324497
"Auckland",2012-07-31,502758.212346537
"Auckland",2012-08-31,503110.206071482
"Auckland",2012-09-30,503391.040367749
"Auckland",2012-10-31,503764.825954734
"Auckland",2012-11-30,504163.260132525
"Auckland",2012-12-31,504430.777980698
"Auckland",2013-01-31,504641.373013867
"Auckland",2013-02-28,504928.790111482
"Auckland",2013-03-31,505404
"Auckland",2013-04-30,505680.110646219
"Auckland",2013-05-31,505957.081306526
"Auckland",2013-06-30,506141.994184378
"Auckland",2013-07-31,506463.356431956
"Auckland",2013-08-31,506756.181910881
"Auckland",2013-09-30,507124.73627919
"Auckland",2013-10-31,507469.487210201
"Auckland",2013-11-30,507813.184477268
"Auckland",2013-12-31,508156.775849731
"Auckland",2014-01-31,508443.424582385
"Auckland",2014-02-28,508825.644936898
"Auckland",2014-03-31,509131.986629796
"Auckland",2014-04-30,509474.214621112
"Auckland",2014-05-31,510002.854363237
"Auckland",2014-06-30,510414.900214682
