"Regional Council 1-way (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","",""
"","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Wanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Total all regions"
" ","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All"
"1999Q2",6180,7750,6690,6370,5890,6320,6740,6250,7720,6080,6260,6040,6110,6550,6320,6490,7020
"1999Q3",6360,8090,6930,6630,6020,6560,6770,6560,8140,6080,6570,6230,6280,6770,6430,6480,7300
"1999Q4",6950,8750,7470,7200,6660,7030,7200,7020,8640,6500,6910,6590,6750,7350,7110,7130,7870
"2000Q1",6340,7950,6900,6670,6240,6640,6860,6510,7960,6210,6390,6240,6320,6730,6560,6760,7230
"2000Q2",6440,8160,7060,6830,6440,6720,6950,6640,8070,6260,6630,6470,6390,6920,6590,6860,7390
"2000Q3",6360,8180,7050,6700,6250,6650,6920,6570,8160,6240,6760,6300,6330,6830,6540,6580,7380
"2000Q4",6990,8870,7670,7350,6760,7270,7490,7230,8760,6790,6990,6780,6880,7520,7270,7380,8050
"2001Q1",6480,8130,7020,6770,6290,6860,7010,6750,8250,6240,6610,6410,6350,6910,6750,7160,7430
"2001Q2",6690,8400,7240,7020,6510,7040,7300,6890,8280,6490,6780,6680,6570,7130,6860,7230,7610
"2001Q3",6700,8500,7400,7110,6340,6940,7250,6820,8450,6620,6910,6590,6600,7170,6830,7050,7690
"2001Q4",7100,9120,7870,7520,7010,7520,7690,7430,8930,7050,7310,7130,7110,7730,7530,7680,8250
"2002Q1",6730,8370,7340,7080,6540,7140,7260,6900,8400,6660,6760,6740,6620,7160,7000,7410,7640
"2002Q2",6960,8680,7560,7300,6720,7270,7530,7040,8440,6860,7050,6920,6730,7350,7090,7280,7850
"2002Q3",6960,8700,7650,7280,6690,7140,7500,7030,8670,6910,7160,6860,6870,7370,7060,7090,7890
"2002Q4",7550,9510,8280,7880,7340,7830,8100,7750,9300,7400,7640,7230,7370,8080,7940,7980,8630
"2003Q1",6920,8540,7500,7150,6870,7340,7500,7130,8530,6830,6950,6920,6820,7390,7260,7620,7830
"2003Q2",7160,8940,7790,7420,7000,7420,7710,7300,8740,7090,7280,7170,6950,7600,7400,7520,8080
"2003Q3",7180,9060,7960,7500,6940,7480,7800,7340,8980,7140,7420,7240,7160,7720,7450,7390,8230
"2003Q4",7810,9770,8610,8010,7780,8040,8340,8010,9700,7680,7770,7750,7720,8400,8160,8300,8900
"2004Q1",7400,9080,8000,7600,7410,7780,7830,7500,9000,7300,7500,7430,7270,7800,7750,8040,8310
"2004Q2",7460,9230,8120,7690,7360,7740,8000,7600,9100,7400,7510,7570,7290,7900,7580,7680,8400
"2004Q3",7530,9430,8240,7800,7330,7750,8080,7670,9200,7550,7670,7590,7500,8080,7620,7730,8540
"2004Q4",8080,10000,8800,8230,7920,8280,8610,8130,9870,7900,8140,8040,8420,8660,8360,8400,9120
"2005Q1",7810,9420,8290,7900,7620,8030,8180,7930,9360,7640,7750,7800,7800,8170,8010,8310,8660
"2005Q2",7860,9600,8500,8060,7490,7940,8360,7920,9530,7710,7790,7970,7850,8350,8010,8120,8780
"2005Q3",7960,9690,8490,8080,7660,8050,8250,7980,9520,7790,7980,8060,8080,8370,8010,8030,8830
"2005Q4",8570,10390,9190,8630,8090,8700,8840,8590,10290,8180,8320,8410,8810,9040,8840,8870,9510
"2006Q1",8190,9810,8630,8230,7880,8390,8520,8300,9790,7870,8060,8240,8150,8530,8350,8400,9010
"2006Q2",8280,9950,8810,8410,7880,8330,8770,8250,9920,7940,8220,8180,8120,8680,8360,8520,9130
"2006Q3",8400,10040,8860,8440,8000,8380,8730,8290,10000,8000,8350,8370,8270,8770,8380,8350,9230
"2006Q4",9120,10850,9560,9050,8750,9090,9350,8840,10800,8500,8910,8920,9020,9500,9300,9140,9970
