"Regional Council 1-way (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","",""
"","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Wanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Total all regions"
" ","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing"
"1999Q2","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"1999Q3",7070,9450,7640,7420,6790,7100,7650,7230,9790,6680,7540,6880,6830,7590,7020,7140,8380
"1999Q4",7770,10200,8300,8170,7480,7710,8260,7850,10400,7270,7840,7350,7460,8220,7860,8010,9070
"2000Q1",7180,9860,7820,7760,7120,7390,7900,7330,10330,7030,7470,7050,7160,7760,7450,7580,8710
"2000Q2",7280,9610,7970,7810,7210,7520,8070,7580,9730,7190,7600,7120,7230,7840,7500,7710,8610
"2000Q3",7120,9630,7920,7870,7120,7330,7810,7300,9960,6900,7940,7090,7080,7760,7250,7450,8580
"2000Q4",7810,10380,8520,8250,7540,8080,8650,8040,10600,7590,7980,7660,7670,8450,8010,8150,9270
"2001Q1",7330,9910,7900,7780,7090,7650,8120,7560,10360,7130,7560,7320,7380,7910,7630,7820,8820
"2001Q2",7730,10030,8210,7980,7360,7860,8530,7890,10200,7360,7910,7520,7380,8130,7830,8290,8980
"2001Q3",7540,10060,8210,8010,7280,7690,8280,7620,10420,7250,8230,7410,7440,8140,7610,7920,8960
"2001Q4",8060,10740,8830,8540,7830,8320,8870,8330,10770,7980,8340,7980,8000,8710,8380,8480,9560
"2002Q1",7500,10110,8220,8070,7410,8000,8580,7740,10370,7470,7730,7450,7520,8180,7860,8070,9020
"2002Q2",7950,10340,8660,8400,7730,8180,8920,8100,10250,7910,8210,7780,7690,8430,8130,8280,9250
"2002Q3",7830,10380,8650,8340,7590,7890,8650,7880,10600,7680,8340,7640,7610,8400,7880,7910,9240
"2002Q4",8610,11210,9370,8990,8280,8720,9300,8740,11130,8400,8620,8140,8330,9120,8820,8690,9990
"2003Q1",7800,10340,8510,8230,7660,8180,8760,8030,10440,7750,7950,7640,7720,8460,8130,8280,9240
"2003Q2",8250,10760,8910,8570,7910,8430,9180,8410,10670,8110,8380,8110,7810,8780,8510,8490,9600
"2003Q3",8210,10850,9030,8600,7860,8310,9180,8250,11060,7920,8590,8080,7970,8810,8340,8240,9660
"2003Q4",8790,11600,9650,9170,8580,9000,9660,9010,11710,8620,8850,8700,8640,9520,9100,8960,10360
"2004Q1",8400,11040,9150,8810,8220,8690,9330,8450,10980,8260,8590,8340,8290,8960,8670,8690,9830
"2004Q2",8600,11230,9320,8970,8380,8840,9410,8730,11290,8420,8690,8550,8220,9160,8730,8610,10020
