Date,Floating mortgage rate,Six-month term deposit rate
31/03/1987,19.6,17.83
30/04/1987,20.2,17.2
31/05/1987,20.4,17.8
30/06/1987,20.5,17.4
31/07/1987,20.3,18
31/08/1987,20.1,17.6
30/09/1987,20,17.3
31/10/1987,20.2,17.2
30/11/1987,19.8,16.9
31/12/1987,19.4,16
31/01/1988,19.4,15
29/02/1988,18.4,14.5
31/03/1988,17.9,14.3
30/04/1988,17.5,14.4
31/05/1988,16.9,14.4
30/06/1988,16.6,14.8
31/07/1988,16.6,14.1
31/08/1988,15.6,13.4
30/09/1988,15.5,13.3
31/10/1988,15.5,12.6
30/11/1988,15.5,12.3
31/12/1988,15.7,12.9
31/01/1989,15.7,11.9
28/02/1989,15.5,11.6
31/03/1989,15.4,11.7
30/04/1989,15.3,11.2
31/05/1989,15.2,11.2
30/06/1989,15.2,11.2
31/07/1989,15.2,11.2
31/08/1989,14.9,11
30/09/1989,14.9,11.4
31/10/1989,14.8,11.4
30/11/1989,14.8,11.4
31/12/1989,14.8,11.4
31/01/1990,14.8,11.1
28/02/1990,14.8,11.3
31/03/1990,14.9,11.1
30/04/1990,14.9,11.3
31/05/1990,14.9,12
30/06/1990,14.9,12
31/07/1990,14.9,11.5
31/08/1990,15.3,12
30/09/1990,15.4,12
31/10/1990,15.4,12
30/11/1990,15.4,12
31/12/1990,15.2,11.5
31/01/1991,14.7,11.3
28/02/1991,14,10.7
31/03/1991,13.7,10.7
30/04/1991,13.5,9.6
31/05/1991,12.8,9.3
30/06/1991,12.6,8.6
31/07/1991,12.4,8.6
31/08/1991,12.3,8.4
30/09/1991,11.8,8
31/10/1991,11.3,7.4
30/11/1991,11.3,7.4
31/12/1991,11.3,7.1
31/01/1992,11.1,7
29/02/1992,10.7,7
31/03/1992,10.4,7.1
30/04/1992,10.2,6.8
31/05/1992,9.9,6.5
30/06/1992,9.9,6.5
31/07/1992,9.6,6
31/08/1992,9.5,6.3
30/09/1992,9.5,6.3
31/10/1992,9.1,6.5
30/11/1992,8.9,6.5
31/12/1992,8.9,6.5
31/01/1993,9.4,6.1
28/02/1993,9.6,6.2
31/03/1993,9.6,6.5
30/04/1993,9.7,6.5
31/05/1993,9.1,6.5
30/06/1993,8.9,7
31/07/1993,8.5,6.3
31/08/1993,8.4,6.3
30/09/1993,7.9,5.7
31/10/1993,7.8,5.8
30/11/1993,7.8,6
31/12/1993,7.75,5.83
31/01/1994,7.65,5.63
28/02/1994,7.4,5.49
31/03/1994,7.4,5.64
30/04/1994,7.9,5.68
31/05/1994,7.9,5.81
30/06/1994,7.9,5.89
