"area","date","dwellings_adj","year","pop","ppd","index","index_pop","index_dwel"
"Auckland",2002-06-30,431861.35,2002,1255800,2.90787772510784,1.00480736062663,0.914639475600874,0.910263510639968
"Bay of Plenty",2002-06-30,100952,2002,250700,2.48335842776765,1.0182537940247,0.944967960799095,0.928027930113631
"Canterbury",2002-06-30,206494.25,2002,505100,2.44607295360525,1.00067940771322,0.93537037037037,0.934735303995021
"Gisborne",2002-06-30,16878.2,2002,45500,2.69578509556706,1.01294512104538,0.989130434782609,0.976489657960747
"Hawke's Bay",2002-06-30,57742.55,2002,148500,2.57176033964555,1.01788679248033,0.976331360946746,0.959174800340692
"Manawatu-Whanganui",2002-06-30,91825.15,2002,227800,2.48080182825729,1.02476220761216,0.993025283347864,0.969029962240458
"Marlborough",2002-06-30,18920.6,2002,41200,2.17752079743771,1.01926394911337,0.944954128440367,0.927094624765602
"Nelson",2002-06-30,17272.85,2002,43100,2.49524542851932,1.03878806007294,0.972911963882618,0.936583699098641
"Northland",2002-06-30,62495.95,2002,146000,2.33615138260959,1.02515136306739,0.956123117223314,0.932665313307946
"Otago",2002-06-30,82510.05,2002,191000,2.3148695219552,1.01524370770024,0.955955955955956,0.941602443536847
"Southland",2002-06-30,39394.15,2002,93500,2.37344884963884,1.03205610940909,1.00321888412017,0.972058471408659
"Taranaki",2002-06-30,42470.6,2002,105900,2.4934896139918,1.01808670866716,0.98695246971109,0.969418872979069
"Tasman",2002-06-30,18152.85,2002,43200,2.37979160297143,1.03317832660974,0.943231441048035,0.912941567544439
"Waikato",2002-06-30,155456.8,2002,373400,2.40195346874502,1.01783510022686,0.949643947100712,0.933003732027956
"Wellington",2002-06-30,173839.25,2002,445800,2.56443812315113,1.00454234584357,0.956036886124812,0.951713872571474
"West Coast",2002-06-30,14518.75,2002,31100,2.14205768402927,1.00982658697164,0.968847352024922,0.959419532546068
"Auckland",2003-06-30,440703.95,2003,1297600,2.94438023530309,1.01742068016508,0.945083758193736,0.928901659479138
"Bay of Plenty",2003-06-30,102438.75,2003,255000,2.48929238203317,1.02068689887854,0.961176027139088,0.941695272267293
"Canterbury",2003-06-30,208999.4,2003,515500,2.46651425793567,1.00904186978946,0.95462962962963,0.946075339597965
"Gisborne",2003-06-30,16978.9,2003,45800,2.69746567798856,1.01357660230372,0.995652173913044,0.982315664795401
"Hawke's Bay",2003-06-30,58208.05,2003,149400,2.56665529939587,1.01586624921076,0.982248520710059,0.966907328079051
"Manawatu-Whanganui",2003-06-30,92405.6,2003,228700,2.47495822763988,1.02234835052737,0.99694856146469,0.975155445744514
"Marlborough",2003-06-30,19188.5,2003,41800,2.17838809703729,1.01966991869858,0.958715596330275,0.94022151556054
"Nelson",2003-06-30,17491.35,2003,43600,2.49266065798237,1.03771200208637,0.984198645598194,0.948431398711215
"Northland",2003-06-30,63337.65,2003,147900,2.33510400212196,1.02469175092815,0.968565815324165,0.945226517581364
"Otago",2003-06-30,83546.5,2003,193500,2.31607547892491,1.01577261017774,0.968468468468468,0.953430382710363
"Southland",2003-06-30,39570.85,2003,94100,2.37801310813389,1.03404080390354,1.00965665236052,0.976418578985492
"Taranaki",2003-06-30,42677.7,2003,106600,2.49779158670688,1.01984319532654,0.993476234855545,0.97414606422652
"Tasman",2003-06-30,18550.9,2003,44100,2.37724315262332,1.03207192566992,0.962882096069869,0.932960263835163
"Waikato",2003-06-30,157536.35,2003,379200,2.40706351264327,1.02000049689713,0.964394710071211,0.945484549277113
"Wellington",2003-06-30,175711.7,2003,452300,2.57410291972589,1.00832824238584,0.969976410036457,0.961964932908518
