area,year,pop
Total New Zealand by regional council/statistical area 2,1996,3732000
,1997,3781300
,1998,3815000
,1999,3835100
,2000,3857700
,2001,3880500
,2002,3948500
,2003,4027200
,2004,4087500
,2005,4133900
,2006,4184600
,2007,4223800
,2008,4259800
,2009,4302600
,2010,4350700
,2011,4384000
,2012,4408100
,2013,4442100
,2014,4516500
,2015,4609400
,2016,4714100
,2017,4813600
,2018,4900600
,2019,4979200
,2020,5090200
,2021,5122600
  Northland region,1996,140700
,1997,142100
,1998,143300
,1999,143800
,2000,144400
,2001,144400
,2002,146000
,2003,147900
,2004,149500
,2005,151000
,2006,152700
,2007,154700
,2008,156300
,2009,158200
,2010,160600
,2011,162500
,2012,163500
,2013,164700
,2014,168200
,2015,172100
,2016,176400
,2017,181200
,2018,185800
,2019,189100
,2020,194300
,2021,197900
  Auckland region,1996,1115800
,1997,1146700
,1998,1169000
,1999,1184800
,2000,1201500
,2001,1218300
,2002,1255800
,2003,1297600
,2004,1326000
,2005,1348900
,2006,1373000
,2007,1390400
,2008,1405500
,2009,1421700
,2010,1439600
,2011,1459600
,2012,1476500
,2013,1493200
,2014,1520400
,2015,1552800
,2016,1589800
,2017,1625100
,2018,1654800
,2019,1681300
,2020,1716900
,2021,1715600
  Waikato region,1996,358800
,1997,362700
,1998,365600
,1999,366900
,2000,368100
,2001,368400
,2002,373400
,2003,379200
,2004,384500
,2005,388700
,2006,393200
,2007,397300
,2008,401600
,2009,406600
,2010,412400
,2011,417300
,2012,421500
,2013,424600
,2014,432400
,2015,442100
,2016,452800
,2017,465000
,2018,475600
,2019,485700
,2020,499300
,2021,506000
  Bay of Plenty region,1996,230600
,1997,235400
,1998,239600
,1999,242500
,2000,245200
,2001,246900
,2002,250700
,2003,255000
,2004,259100
,2005,262200
,2006,265300
,2007,267900
,2008,270200
,2009,272700
,2010,275700
,2011,278200
,2012,278800
,2013,279700
,2014,286100
,2015,293200
,2016,301500
,2017,311500
,2018,320800
,2019,328200
,2020,338400
,2021,343400
  Gisborne region,1996,47200
,1997,46900
,1998,46600
,1999,46400
,2000,46100
,2001,45500
,2002,45500
,2003,45800
,2004,45800
,2005,45900
,2006,46000
,2007,46000
,2008,46000
,2009,46300
,2010,46700
,2011,46800
,2012,47000
,2013,47000
,2014,47500
,2015,48100
,2016,48800
,2017,49200
,2018,49500
,2019,50200
,2020,51100
,2021,51500
  Hawke's Bay region,1996,146600
,1997,147400
,1998,147600
,1999,147300
,2000,147300
,2001,147300
,2002,148500
,2003,149400
,2004,150400
,2005,151200
,2006,152100
,2007,152900
,2008,153500
,2009,154500
,2010,156300
,2011,157300
,2012,157500
,2013,158000
,2014,160800
,2015,163700
,2016,166900
,2017,169700
,2018,172400
,2019,174900
,2020,179700
,2021,181500
  Taranaki region,1996,109000
,1997,108600
,1998,108100
,1999,107300
,2000,106500
,2001,105700
,2002,105900
,2003,106600
,2004,106800
,2005,106800
,2006,107300
,2007,107600
,2008,108300
,2009,109300
,2010,110700
,2011,111800
,2012,112700
,2013,113600
,2014,115000
,2015,116600
,2016,118500
,2017,120000
,2018,121200
,2019,123100
,2020,125200
,2021,126400
  Manawatu-Whanganui region,1996,234500
,1997,233800
,1998,232500
,1999,231200
,2000,229900
,2001,227500
,2002,227800
,2003,228700
,2004,229200
,2005,228900
,2006,229400
,2007,228700
