"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)",""
"","As at"
" ","Total"
" ","Total All Ages"
"1991Q1",3488000
"1991Q2",3495100
"1991Q3",3504600
"1991Q4",3516000
"1992Q1",3526500
"1992Q2",3531700
"1992Q3",3539600
"1992Q4",3552200
"1993Q1",3564400
"1993Q2",3572200
"1993Q3",3582900
"1993Q4",3597800
"1994Q1",3611500
"1994Q2",3620000
"1994Q3",3631800
"1994Q4",3648300
"1995Q1",3663700
"1995Q2",3673400
"1995Q3",3688600
"1995Q4",3706700
"1996Q1",3723400
"1996Q2",3732000
"1996Q3",3745600
"1996Q4",3762300
"1997Q1",3775200
"1997Q2",3781300
"1997Q3",3791300
"1997Q4",3802700
"1998Q1",3811200
"1998Q2",3815000
"1998Q3",3821000
"1998Q4",3829200
"1999Q1",3833000
"1999Q2",3835100
"1999Q3",3841100
"1999Q4",3851100
"2000Q1",3855900
"2000Q2",3857700
"2000Q3",3864900
"2000Q4",3873100
"2001Q1",3876200
"2001Q2",3880500
"2001Q3",3895400
"2001Q4",3916200
"2002Q1",3935700
"2002Q2",3948500
"2002Q3",3967600
"2002Q4",3989500
"2003Q1",4013300
"2003Q2",4027200
"2003Q3",4044600
"2003Q4",4061600
"2004Q1",4078700
"2004Q2",4087500
"2004Q3",4100600
"2004Q4",4114300
"2005Q1",4126600
"2005Q2",4133900
"2005Q3",4145900
"2005Q4",4161000
"2006Q1",4176100
"2006Q2",4184600
"2006Q3",4195500
"2006Q4",4209100
"2007Q1",4219400
"2007Q2",4223800
"2007Q3",4234300
"2007Q4",4245700
"2008Q1",4255600
"2008Q2",4259800
"2008Q3",4269600
"2008Q4",4280300
"2009Q1",4293500
"2009Q2",4302600
"2009Q3",4317300
"2009Q4",4332100
"2010Q1",4345700
"2010Q2",4350700
"2010Q3",4362700
"2010Q4",4373900
"2011Q1",4382500
"2011Q2",4384000
"2011Q3",4392000
"2011Q4",4399400
"2012Q1",4406500
"2012Q2",4408100
"2012Q3",4415600
"2012Q4",4425900
"2013Q1",4436000
"2013Q2",4442100
"2013Q3",4457900
"2013Q4",4477400
"2014Q1",4501100
"2014Q2",4516500
"2014Q3",4540300
"2014Q4",4564400
"2015Q1",4591900
"2015Q2",4609400
"2015Q3",4636300
"2015Q4",4663700
"2016Q1",4695000
"2016Q2",4714100
"2016Q3",4741200
"2016Q4",4767600
"2017Q1",4796700
"2017Q2",4813600
"2017Q3",4836300
"2017Q4",4859500
"2018Q1",4886100
"2018Q2",4900600
"2018Q3",4921300
"2018Q4",4941200
"2019Q1",4965300
"2019Q2",4979200
"2019Q3",5006900
"2019Q4",5040400
"2020Q1",5082800
"2020Q2",5090200
"2020Q3",5098700
"2020Q4",5103700
"2021Q1",5107900
"2021Q2",5111300
"2021Q3",5115000
"2021Q4",5116400
"2022Q1",5116300
"2022Q2",5119100
"2022Q3",5130000
"2022Q4",5151600
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"All population estimates at 30 June 2018 and beyond use the 2018-base ERP."
"Estimates flagged as provisional are subject to revision, mainly to incorporate revisions to external (international) migration estimates."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"DPE054AA"
""
"Last updated:"
"Total All Ages: 20 February 2023 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
