Year,Far North District,Whangarei District,Kaipara District,Auckland,Thames-Coromandel District,Hauraki District,Waikato District,Matamata-Piako District,Hamilton City,Waipa District,Otorohanga District,South Waikato District,Waitomo District,Taupo District,Western Bay of Plenty District,Tauranga City,Rotorua District,Whakatane District,Kawerau District,Opotiki District,Gisborne District,Wairoa District,Hastings District,Napier City,Central Hawke's Bay District,New Plymouth District,Stratford District,South Taranaki District,Ruapehu District,Whanganui District,Rangitikei District,Manawatu District,Palmerston North City,Tararua District,Horowhenua District,Kapiti Coast District,Porirua City,Upper Hutt City,Lower Hutt City,Wellington City,Masterton District,Carterton District,South Wairarapa District,Tasman District,Nelson City,Marlborough District,Kaikoura District,Buller District,Grey District,Westland District,Hurunui District,Waimakariri District,Christchurch City,Selwyn District,Ashburton District,Timaru District,Mackenzie District,Waimate District,Chatham Islands Territory,Waitaki District,Central Otago District,Queenstown-Lakes District,Dunedin City,Clutha District,Southland District,Gore District,Invercargill City,New Zealand
1996,54500,68400,17800,1115800,25400,18550,52000,30300,113500,38400,9960,25800,10000,31600,35600,79900,66600,34200,8120,9620,47200,10200,68100,54900,13350,69700,9750,29800,17300,46000,16750,26800,77100,19500,30800,39400,48200,37700,98800,163400,23300,6940,9150,38800,41200,39200,3590,10750,14000,8450,9620,33000,325700,25500,25700,43500,4170,7780,760,22000,15250,14800,120800,18400,31200,13500,54200,3732000
1997,55200,69000,17850,1146700,25800,18500,52400,30400,116100,38700,9920,25700,9950,32000,36400,83300,66900,34400,8010,9600,46900,10050,68600,55200,13300,69600,9660,29500,16900,46000,16550,26700,77300,19350,30800,40300,48500,37800,99400,166000,23300,6900,9030,39400,41700,39600,3580,10550,13950,8390,9670,34000,329200,26100,25800,43400,4140,7710,760,21800,15200,15400,120400,18300,30800,13400,53200,3781300
1998,55800,69700,17850,1169000,25900,18500,52700,30400,118100,39100,9870,25600,9960,32300,37300,86500,67300,34400,7860,9610,46600,9920,68900,55400,13200,69400,9540,29300,16500,45700,16350,26700,77200,19100,30800,41200,48800,37800,99600,167400,23300,6850,9020,40200,42000,40000,3530,10450,13750,8290,9820,35100,331300,26500,25900,43300,4070,7560,750,21500,15100,15750,120200,18150,30400,13200,51900,3815000
1999,56100,69800,17900,1184800,25800,18350,53100,30400,119400,39400,9780,25100,9890,32400,37900,89200,67100,34300,7670,9610,46400,9740,69000,55300,13150,69100,9390,29000,16000,45300,16050,26600,77400,18850,30700,41900,49100,37700,99400,168600,23200,6820,8980,40800,42300,40300,3530,10200,13550,8140,9900,36100,332700,26900,25900,43100,3990,7430,750,21100,14950,16100,119900,17950,30000,13000,50600,3835100
2000,56400,70000,17950,1201500,25800,18200,53500,30300,120500,39800,9690,24700,9810,32500,38600,91700,67000,34200,7460,9610,46100,9530,69300,55300,13150,68800,9260,28700,15550,45100,15800,26500,77400,18650,30700,42700,49200,37700,99300,169500,23200,6840,9000,41600,42600,40500,3500,10050,13400,7990,9970,37100,333800,27600,25900,42800,3880,7330,750,20800,14850,16750,119600,17750,29700,12850,50200,3857700
2001,56400,70000,17950,1218300,25800,18000,53700,30300,121200,40000,9590,24200,9780,32500,38900,93600,66900,34100,7290,9490,45500,9260,69600,55200,13200,68400,9110,28400,15000,44400,15500,26300,77100,18350,30600,43600,49500,37700,99100,171100,23200,7000,8940,42400,42900,40700,3580,9860,13200,7990,10150,37900,335300,28300,26000,42800,3790,7220,750,20500,14750,17850,119300,17550,29400,12750,51100,3880500
2002,56600,71300,18100,1255800,26000,18050,55000,30400,124000,40600,9560,24000,9720,32700,39700,96100,67400,34200,7310,9470,45500,9190,70400,55500,13200,69000,9070,28100,14800,44300,15450,26300,77800,18250,30600,44300,49800,38100,99800,174400,23300,7050,8990,43200,43100,41200,3620,9830,13200,8100,10250,39000,340500,29600,26300,43100,3790,7230,730,20500,15200,19150,120200,17500,29300,12650,51500,3948500
2003,56900,72700,18250,1297600,26200,18150,56300,30600,127100,41400,9490,23900,9750,33000,40500,99100,67900,34200,7290,9460,45800,9070,71100,55900,13200,69700,9090,28000,14750,44100,15450,26400,79000,18200,30600,45100,50300,38500,100300,178800,23300,7120,8990,44100,43600,41800,3660,9870,13250,8230,10350,40200,347600,30900,26800,43300,3840,7280,710,20600,15700,20400,120900,17450,29400,12650,52100,4027200
2004,57000,74100,18350,1326000,26400,18200,57300,30900,130000,42100,9410,23800,9740,33200,41300,102000,68100,34400,7230,9440,45800,8920,71900,56200,13200,70100,9150,27700,14500,43900,15350,26400,79900,18150,30600,45900,50500,38900,100900,182100,23300,7170,9020,45000,44000,42500,3700,9870,13300,8360,10550,41500,353200,32200,27200,43600,3860,7340,690,20600,16150,21800,121600,17400,29300,12600,52200,4087500
2005,57200,75300,18450,1348900,26500,18250,58400,31100,132300,43000,9360,23600,9710,33300,42200,104600,68000,34300,7200,9330,45800,8800,72400,56500,13200,70400,9140,27400,14200,43800,15250,26600,80200,18100,30600,46700,50400,39200,101200,184500,23300,7200,9050,45500,44100,43000,3710,9870,13400,8490,10650,42800,357200,33400,27600,43700,3880,7340,670,20600,16550,22900,122000,17300,29200,12500,52000,4133900
2006,57500,76500,18550,1373000,26700,18300,59500,31200,134800,43700,9310,23200,9680,33400,42900,107000,68100,34500,7150,9200,45900,8720,73200,56800,13250,71100,9120,27200,14050,43800,15150,26800,80800,18050,30600,47500,50600,39700,101300,187700,23200,7260,9120,45800,44300,43600,3730,9940,13550,8620,10750,44100,361800,34900,28000,43800,3900,7380,650,20700,17050,24100,122300,17200,29200,12400,51600,4184600
2007,58100,77800,18800,1390400,26800,18350,60600,31300,136900,44600,9280,23000,9580,33500,43500,109400,67900,34400,7060,9160,45900,8610,73700,57200,13250,71700,9090,26900,13700,43600,15000,26900,80800,17950,30600,48100,50800,39900,101300,189500,23200,7390,9190,46200,44700,43800,3730,10050,13600,8640,10800,45100,365600,36700,28600,44000,3950,7430,640,20700,17350,25400,121900,17200,29200,12300,51700,4223800
2008,58500,78800,19000,1405500,26800,18350,61800,31600,138700,45300,9290,23000,9580,33500,44000,111300,68000,34300,7020,9110,46000,8540,74100,57400,13300,72400,9100,26900,13450,43500,14900,27200,80900,17750,30700,48600,51100,40100,101100,190800,23300,7550,9290,46500,45200,44100,3720,10100,13650,8660,10950,46000,368700,38200,29100,44000,4010,7470,640,20800,17600,26300,121700,17300,29300,12300,51700,4259800
2009,59000,79900,19350,1421700,26900,18400,63000,31900,140900,46100,9350,23100,9590,33800,44500,113500,68100,34300,6970,9090,46300,8520,74700,57900,13350,73300,9130,27100,13350,43500,14850,27400,81500,17700,30800,49100,51700,40400,101300,192500,23500,7700,9400,46900,45800,44400,3720,10250,13750,8660,11150,46900,372300,39600,29600,44200,4060,7520,640,20900,17800,26900,121900,17350,29500,12350,52100,4302600
2010,59600,81200,19750,1439600,27100,18550,64300,32200,143300,46900,9430,23200,9590,34200,45100,115500,68400,34400,6950,9090,46700,8570,75600,58600,13450,74400,9150,27200,13150,43700,14800,27700,82200,17750,31000,49700,52300,40800,101600,193700,23700,7910,9540,47400,46500,44600,3720,10350,13850,8640,11300,47600,376300,41000,30100,44500,4130,7580,640,21000,18000,27500,122400,17400,29700,12400,52600,4350700
2011,60100,82100,20200,1459600,27200,18650,65400,32400,145600,47700,9500,23300,9590,34300,45500,117300,68800,34400,6890,9070,46800,8530,76200,59000,13450,75400,9160,27400,12950,43800,14700,28000,82800,17750,31000,50200,53000,41300,101700,195400,24000,8130,9690,48200,47500,44700,3760,10500,13900,8680,11550,49400,362300,42900,31000,44900,4210,7680,640,21200,18150,28400,123100,17500,30000,12450,53200,4384000
2012,60400,82800,20300,1476500,27200,18600,66100,32600,148100,48200,9570,23200,9490,34600,45400,118400,68600,34300,6850,8870,47000,8350,76400,59400,13350,76200,9230,27400,12600,43600,14550,28200,83300,17600,31200,50400,53400,41300,101200,196600,24100,8310,9710,48600,48200,44600,3680,10650,13900,8560,11800,50500,355100,44400,31700,45100,4280,7720,600,21300,18200,28800,123500,17300,30200,12400,53200,4408100
2013,60600,83700,20500,1493200,27300,18600,66500,32900,150200,48700,9590,23200,9340,34800,45400,119900,68400,34200,6650,8780,47000,8300,76700,59600,13250,77100,9210,27500,12450,43500,14550,28500,83500,17450,31200,50700,53700,41300,101200,197500,24100,8490,9800,48800,48700,44700,3640,10650,13700,8570,12000,52300,356700,46700,32300,45400,4300,7810,600,21400,18500,29700,123500,17250,30300,12400,53200,4442100
2014,61900,85400,20900,1520400,27900,18900,68200,33300,153200,49500,9720,23400,9400,35300,46600,123100,69600,34700,6800,8910,47500,8390,78200,60500,13550,78200,9300,27600,12500,44100,14700,29100,84300,17650,31700,51700,54600,42100,102400,199900,24500,8710,9990,49700,49600,45400,3740,10550,13700,8620,12200,54300,358000,49600,32800,45800,4440,7870,610,21700,18950,31300,124900,17350,30600,12450,53800,4516500
2015,63300,87200,21500,1552800,28500,19250,70400,33700,156800,50900,9900,23800,9470,35900,47800,126800,70900,35300,6960,9100,48100,8490,79900,61400,13800,79500,9420,27900,12550,44800,14900,29600,85300,17850,32200,52600,55600,42900,103800,202900,24900,8880,10200,50700,50500,46200,3840,10400,13750,8670,12450,56800,365600,53100,33300,46300,4550,7950,620,22000,19550,33400,126600,17550,30900,12550,54300,4609400
2016,64900,89300,22200,1589800,29100,19700,72600,34200,160800,52200,10150,24100,9580,36800,49300,131200,72300,35900,7120,9300,48800,8590,81600,62400,14150,80900,9560,28100,12650,45600,15100,30100,86400,18100,32900,53500,56800,43800,105800,206000,25400,9060,10400,51900,51400,47100,3950,10300,13850,8780,12700,58700,374600,56400,33900,47000,4720,8070,640,22400,20200,36100,128400,17750,31400,12700,54900,4714100
2017,66500,91800,23000,1625100,29900,20200,75600,34800,165100,53700,10300,24500,9610,37700,51400,136700,73700,36600,7300,9510,49200,8670,83200,63400,14400,82200,9650,28300,12700,46200,15300,30600,87300,18300,33700,54300,57800,44600,107500,208400,25800,9240,10650,53000,52000,47900,4000,10100,13800,8800,12850,60300,380400,60000,34400,47400,4900,8120,660,22700,21100,39000,129900,17900,31600,12750,55500,4813600
2018,67900,94100,23700,1654800,30700,20700,78200,35300,168600,55000,10500,24800,9630,38600,53300,142100,74800,37100,7460,9670,49500,8720,84700,64200,14650,83300,9710,28300,12750,46800,15450,31100,88300,18450,34500,55200,58900,45400,108600,211200,26400,9510,10900,54000,52700,48700,4060,9850,13750,8830,12950,61300,383800,63300,34600,47600,5100,8120,690,22900,22200,42500,131200,18050,31900,12800,55900,4900600
2019,69200,95600,24300,1681300,31200,21000,80500,35800,172500,56400,10600,25100,9600,39400,54800,146400,75700,37500,7550,9950,50200,8800,86000,65100,14900,84700,9890,28600,12800,47200,15650,31700,89300,18700,35100,56100,59800,46200,109900,212900,26900,9660,11100,54900,53400,49300,4110,9760,13850,8830,13100,62800,387200,66300,34900,47900,5280,8180,710,23200,23000,44800,132100,18150,32200,12850,56600,4979200
