Quarter,Region,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
1/03/2021,Northland,14950,15510,10780,69.5,13260,13750,10020,72.9,60430,8360,9510,14.7,3470,4620,879861100
,Auckland,18560,19240,12890,67,15220,15740,11100,70.5,764460,98800,109720,13.5,42130,53050,13811408400
,Waikato,15980,16520,11560,70,14170,14630,10570,72.3,192130,25710,29230,14.2,11200,14710,2976193700
,Bay of Plenty,15520,16100,11210,69.6,13540,14020,10230,73,129630,19560,23230,16.3,7770,11440,1942438600
,Gisborne,14830,15330,11330,73.9,13100,13500,10250,75.9,20700,3830,3850,18.6,1890,1920,292531000
,Hawke's Bay,15200,15780,11400,72.2,13690,14160,10750,75.9,76700,14440,11930,17.5,7270,4760,1112486400
,Taranaki,16300,16800,11920,71,14040,14470,10760,74.4,50790,6530,6810,13.1,3050,3320,813015600
,Manawatu-Wanganui,15090,15520,11420,73.6,13510,13870,10560,76.1,102970,13250,14680,13.5,5590,7020,1512391400
,Wellington,19010,19570,13800,70.5,15900,16360,11480,70.2,258450,30880,36300,12.9,12190,17610,4815440700
,Tasman,14030,14600,10440,71.5,12740,13220,9860,74.6,21060,3630,3740,17.5,1680,1790,290106500
,Nelson,15380,15920,10800,67.8,13410,13810,9810,71,26530,3520,3830,13.8,1250,1550,394723200
,Marlborough,15190,15560,11560,74.3,13750,14050,11000,78.3,22140,3330,3620,15.6,1560,1850,329791800
,West Coast,15170,15570,11950,76.8,13810,14170,10700,75.5,13500,1680,1800,12.8,780,890,202743400
,Canterbury,15910,16400,11510,70.2,14100,14530,10590,72.9,287390,36810,41070,13.4,15640,19900,4461780000
,Otago,15380,15930,11120,69.8,13600,14040,10280,73.2,106590,17200,16610,15.9,8550,7960,1576139700
,Southland,15450,15850,11990,75.7,14220,14530,11420,78.6,46250,6770,6540,14.4,3590,3360,689493500
1/12/2020,Northland,15520,16000,11760,73.5,13790,14200,10870,76.6,61570,9140,6870,13.3,4880,2620,905446600
,Auckland,18780,19290,14150,73.4,15740,16150,12220,75.7,775230,99770,92280,12.5,46710,39210,14020439600
,Waikato,16520,17000,12920,76,14550,14970,11650,77.8,195550,28770,22940,13.4,14110,8280,3068387400
,Bay of Plenty,15800,16290,12340,75.8,13940,14380,11170,77.7,133150,22910,19750,16.2,11440,8280,1970852200
,Gisborne,15040,15480,11900,76.9,13410,13730,11080,80.7,20740,3700,3100,16.6,1850,1240,293629900
,Hawke's Bay,15390,15840,12010,75.8,13810,14210,11130,78.3,73900,12790,9550,15.5,6510,3270,1076114600
,Taranaki,16790,17320,11980,69.2,14390,14810,10850,73.3,51320,6760,5480,12.1,3420,2130,826598800
,Manawatu-Wanganui,15370,15770,12300,78,13800,14130,11460,81.1,104310,14210,12100,12.7,6600,4490,1539857900
,Wellington,19080,19560,14930,76.3,16200,16640,12620,75.8,263960,33400,28110,11.8,14920,9630,4850998900
,Tasman,14460,14810,11970,80.8,12930,13270,11020,83,21030,3680,3010,16.2,1990,1330,286884400
,Nelson,15400,15800,12060,76.3,13500,13800,10990,79.6,26920,3870,3350,13.5,1660,1140,399534800
,Marlborough,15160,15490,12880,83.2,13680,13940,11640,83.5,22450,3560,3690,16.1,1610,1740,325997500
,West Coast,15700,16100,12570,78.1,14300,14690,10850,73.9,13610,1800,1460,12.1,890,560,206001700
