"date","index","area","level","measure","freq","area_number"
2000-12-31,0.582169767077218,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-01-31,0.613389576307622,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-02-28,0.599327014744431,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-03-31,0.63166457918877,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-04-30,0.617339701947163,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-05-31,0.674423584517804,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-06-30,0.651315682103352,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-07-31,0.632903588181286,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-08-31,0.627610345833118,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-09-30,0.60735779687165,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-10-31,0.626559732676833,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-11-30,0.599491625218196,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2001-12-31,0.631975677774597,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-01-31,0.642849255718774,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-02-28,0.646503617307494,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-03-31,0.60769923895344,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-04-30,0.654708290329071,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-05-31,0.759217683348998,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-06-30,0.670038903645514,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-07-31,0.687406950320419,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-08-31,0.683794992398421,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-09-30,0.656293332356011,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-10-31,0.649055921874221,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-11-30,0.659264150981065,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2002-12-31,0.534621758775057,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-01-31,0.643122964023574,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-02-28,0.669896761995833,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-03-31,0.727664968231902,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-04-30,0.742762856098741,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-05-31,0.786011445085106,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-06-30,0.864102508431652,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-07-31,0.725103035796181,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-08-31,0.734973534623578,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-09-30,0.744974539081272,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-10-31,0.755786381763092,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-11-30,0.705285864108202,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2003-12-31,0.795768113182444,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-01-31,0.705774348192221,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-02-29,0.762136291254137,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-03-31,0.775919296882955,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-04-30,0.764031897681718,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-05-31,0.820121982246574,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-06-30,0.832449261895961,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-07-31,0.831442870215544,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-08-31,0.761931844878484,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2004-09-30,0.744788131810657,"Ashburton District","Territorial Local Authority","flow","Monthly",63
