Date,Floating rate,2yr rate
31/12/2004,8.67,7.61
31/01/2005,8.67,7.61
28/02/2005,8.67,7.67
31/03/2005,8.91,7.73
30/04/2005,8.94,7.75
31/05/2005,8.94,7.73
30/06/2005,8.94,7.64
31/07/2005,8.94,7.63
31/08/2005,8.94,7.64
30/09/2005,8.94,7.71
31/10/2005,9.02,7.92
30/11/2005,9.17,8.22
31/12/2005,9.47,8.27
31/01/2006,9.47,8.13
28/02/2006,9.47,7.97
31/03/2006,9.47,7.84
30/04/2006,9.47,7.75
31/05/2006,9.47,7.92
30/06/2006,9.47,7.97
31/07/2006,9.47,8.21
31/08/2006,9.46,8.13
30/09/2006,9.46,8.03
31/10/2006,9.46,8.06
30/11/2006,9.46,8.08
31/12/2006,9.46,8.18
31/01/2007,9.46,8.23
28/02/2007,9.46,8.38
31/03/2007,9.69,8.71
30/04/2007,9.72,8.83
31/05/2007,9.91,8.84
30/06/2007,10.14,9.16
31/07/2007,10.19,9.19
31/08/2007,10.4,9.22
30/09/2007,10.4,9.12
31/10/2007,10.4,9.14
30/11/2007,10.4,9.26
31/12/2007,10.4,9.38
31/01/2008,10.41,9.5
29/02/2008,10.51,9.55
31/03/2008,10.56,9.63
30/04/2008,10.56,9.62
31/05/2008,10.72,9.34
30/06/2008,10.72,9.2
31/07/2008,10.72,9.03
31/08/2008,10.72,8.96
30/09/2008,10.26,8.62
31/10/2008,9.62,8.24
30/11/2008,8.82,7.46
31/12/2008,7.88,7.1
31/01/2009,7.17,6.31
28/02/2009,6.72,5.93
31/03/2009,6.37,6.17
30/04/2009,6.37,6.24
31/05/2009,6.37,6.23
30/06/2009,6.37,6.26
31/07/2009,6.37,6.3
31/08/2009,6.33,6.52
30/09/2009,6.22,6.62
31/10/2009,6.15,7.08
30/11/2009,6.07,7.12
31/12/2009,6.07,7.22
31/01/2010,6.07,7.22
28/02/2010,5.98,7.18
31/03/2010,5.98,7.15
30/04/2010,5.98,7.08
31/05/2010,5.98,7.18
30/06/2010,6.12,7.13
31/07/2010,6.12,6.94
31/08/2010,6.35,6.79
30/09/2010,6.34,6.73
31/10/2010,6.34,6.73
30/11/2010,6.34,6.68
31/12/2010,6.34,6.66
31/01/2011,6.34,6.66
28/02/2011,6.34,6.59
31/03/2011,5.93,6.44
30/04/2011,5.89,6.44
31/05/2011,5.87,6.42
30/06/2011,5.87,6.42
31/07/2011,5.87,6.41
31/08/2011,5.87,6.41
30/09/2011,5.87,6.34
