"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","",""
"","","Total Both Sexes"
" "," ","Unemployment Rate"
"Northland","1986Q1",6.0
" ","1986Q2",6.3
" ","1986Q3",6.4
" ","1986Q4",7.7
" ","1987Q1",6.8
" ","1987Q2",5.2
" ","1987Q3",8.4
" ","1987Q4",5.4
" ","1988Q1",7.9
" ","1988Q2",8.9
" ","1988Q3",8.7
" ","1988Q4",10.0
" ","1989Q1",8.6
" ","1989Q2",7.9
" ","1989Q3",8.7
" ","1989Q4",7.2
" ","1990Q1",9.4
" ","1990Q2",10.0
" ","1990Q3",10.2
" ","1990Q4",12.2
" ","1991Q1",13.1
" ","1991Q2",13.5
" ","1991Q3",13.6
" ","1991Q4",14.9
" ","1992Q1",16.3
" ","1992Q2",12.2
" ","1992Q3",12.7
" ","1992Q4",12.2
" ","1993Q1",10.1
" ","1993Q2",15.9
" ","1993Q3",15.8
" ","1993Q4",14.3
" ","1994Q1",12.7
" ","1994Q2",12.9
" ","1994Q3",14.7
" ","1994Q4",14.3
" ","1995Q1",13.6
" ","1995Q2",10.0
" ","1995Q3",10.0
" ","1995Q4",11.7
" ","1996Q1",11.9
" ","1996Q2",11.4
" ","1996Q3",9.1
" ","1996Q4",6.9
" ","1997Q1",8.7
" ","1997Q2",10.4
" ","1997Q3",9.3
" ","1997Q4",10.1
" ","1998Q1",12.8
" ","1998Q2",11.6
" ","1998Q3",11.6
" ","1998Q4",14.1
" ","1999Q1",13.2
" ","1999Q2",14.0
" ","1999Q3",9.3
" ","1999Q4",9.7
" ","2000Q1",9.8
" ","2000Q2",8.9
" ","2000Q3",9.2
" ","2000Q4",9.1
" ","2001Q1",7.8
" ","2001Q2",6.9
" ","2001Q3",8.5
" ","2001Q4",9.5
" ","2002Q1",11.1
" ","2002Q2",9.0
" ","2002Q3",8.9
" ","2002Q4",8.8
" ","2003Q1",10.2
" ","2003Q2",7.6
" ","2003Q3",8.7
" ","2003Q4",7.2
" ","2004Q1",4.4
" ","2004Q2",5.0
" ","2004Q3",5.4
" ","2004Q4",4.3
" ","2005Q1",4.4
" ","2005Q2",7.5
" ","2005Q3",5.9
" ","2005Q4",5.0
" ","2006Q1",5.7
" ","2006Q2",5.9
" ","2006Q3",5.6
" ","2006Q4",3.6
" ","2007Q1",5.2
" ","2007Q2",3.4
" ","2007Q3",5.6
" ","2007Q4",2.7
" ","2008Q1",4.7
" ","2008Q2",4.1
" ","2008Q3",7.2
" ","2008Q4",6.5
" ","2009Q1",8.6
" ","2009Q2",7.8
" ","2009Q3",9.0
" ","2009Q4",9.1
" ","2010Q1",8.9
" ","2010Q2",9.0
" ","2010Q3",8.0
" ","2010Q4",8.4
" ","2011Q1",9.6
" ","2011Q2",7.4
" ","2011Q3",8.6
" ","2011Q4",8.1
" ","2012Q1",8.3
" ","2012Q2",8.8
" ","2012Q3",9.2
" ","2012Q4",9.5
" ","2013Q1",9.7
" ","2013Q2",7.2
" ","2013Q3",9.3
" ","2013Q4",8.5
" ","2014Q1",7.6
" ","2014Q2",7.5
" ","2014Q3",8.5
" ","2014Q4",8.0
" ","2015Q1",9.1
" ","2015Q2",7.7
" ","2015Q3",8.3
" ","2015Q4",6.2
" ","2016Q1",8.6
" ","2016Q2",10.9
" ","2016Q3",7.8
" ","2016Q4",7.6
" ","2017Q1",8.3
" ","2017Q2",7.5
" ","2017Q3",6.9
" ","2017Q4",5.7
" ","2018Q1",5.9
" ","2018Q2",4.9
" ","2018Q3",6.5
" ","2018Q4",5.8
" ","2019Q1",7.3
" ","2019Q2",5.4
" ","2019Q3",5.2
" ","2019Q4",5.9
" ","2020Q1",4.1
" ","2020Q2",3.0
" ","2020Q3",5.9
" ","2020Q4",5.6
" ","2021Q1",5.4
" ","2021Q2",3.5
" ","2021Q3",3.9
" ","2021Q4",3.3
" ","2022Q1",3.5
" ","2022Q2",2.9
" ","2022Q3",4.2
"Auckland","1986Q1",4.0
" ","1986Q2",3.2
" ","1986Q3",3.0
" ","1986Q4",2.7
" ","1987Q1",2.9
" ","1987Q2",3.4
" ","1987Q3",2.7
" ","1987Q4",2.5
" ","1988Q1",3.6
" ","1988Q2",3.8
" ","1988Q3",4.6
" ","1988Q4",5.3
" ","1989Q1",7.4
" ","1989Q2",6.0
" ","1989Q3",6.1
" ","1989Q4",5.6
" ","1990Q1",5.9
" ","1990Q2",6.8
" ","1990Q3",7.6
" ","1990Q4",8.0
" ","1991Q1",10.9
" ","1991Q2",11.3
" ","1991Q3",12.3
" ","1991Q4",11.9
" ","1992Q1",13.0
" ","1992Q2",12.0
" ","1992Q3",10.9
" ","1992Q4",10.9
" ","1993Q1",10.8
" ","1993Q2",10.6
" ","1993Q3",9.9
" ","1993Q4",8.7
" ","1994Q1",10.1
" ","1994Q2",8.0
" ","1994Q3",7.3
" ","1994Q4",6.7
" ","1995Q1",5.9
" ","1995Q2",5.8
" ","1995Q3",5.4
" ","1995Q4",5.2
" ","1996Q1",5.1
" ","1996Q2",5.3
" ","1996Q3",5.7
" ","1996Q4",5.1
" ","1997Q1",6.4
" ","1997Q2",7.0
" ","1997Q3",7.3
" ","1997Q4",7.0
" ","1998Q1",7.7
" ","1998Q2",7.8
" ","1998Q3",6.8
" ","1998Q4",6.7
" ","1999Q1",7.0
" ","1999Q2",6.3
" ","1999Q3",6.3
" ","1999Q4",5.0
" ","2000Q1",6.5
" ","2000Q2",5.9
" ","2000Q3",5.2
" ","2000Q4",5.1
" ","2001Q1",5.4
" ","2001Q2",5.7
" ","2001Q3",4.3
" ","2001Q4",4.7
" ","2002Q1",5.0
" ","2002Q2",5.1
" ","2002Q3",5.0
" ","2002Q4",4.1
" ","2003Q1",4.6
" ","2003Q2",4.1
" ","2003Q3",3.4
" ","2003Q4",3.9
" ","2004Q1",4.5
" ","2004Q2",3.9
" ","2004Q3",3.9
" ","2004Q4",3.4
" ","2005Q1",4.3
" ","2005Q2",3.4
" ","2005Q3",3.5
" ","2005Q4",3.7
" ","2006Q1",3.9
" ","2006Q2",3.2
" ","2006Q3",3.8
" ","2006Q4",3.9
" ","2007Q1",4.6
" ","2007Q2",3.3
" ","2007Q3",3.6
" ","2007Q4",3.6
" ","2008Q1",4.6
" ","2008Q2",4.1
" ","2008Q3",4.1
" ","2008Q4",5.0
" ","2009Q1",6.3
" ","2009Q2",6.1
" ","2009Q3",6.2
" ","2009Q4",7.2
" ","2010Q1",7.5
" ","2010Q2",8.1
" ","2010Q3",6.8
" ","2010Q4",7.0
" ","2011Q1",7.0
" ","2011Q2",6.6
" ","2011Q3",6.2
" ","2011Q4",6.2
" ","2012Q1",7.3
" ","2012Q2",6.9
" ","2012Q3",7.7
" ","2012Q4",6.4
" ","2013Q1",6.8
" ","2013Q2",6.4
" ","2013Q3",6.0
" ","2013Q4",5.6
" ","2014Q1",6.7
" ","2014Q2",5.8
" ","2014Q3",5.7
" ","2014Q4",5.6
" ","2015Q1",6.5
" ","2015Q2",5.9
" ","2015Q3",5.6
" ","2015Q4",5.1
" ","2016Q1",6.1
" ","2016Q2",4.7
" ","2016Q3",5.3
" ","2016Q4",5.1
" ","2017Q1",5.0
" ","2017Q2",4.5
" ","2017Q3",4.6
" ","2017Q4",4.1
" ","2018Q1",4.5
" ","2018Q2",4.2
" ","2018Q3",3.7
" ","2018Q4",4.3
" ","2019Q1",4.4
" ","2019Q2",4.2
" ","2019Q3",4.2
" ","2019Q4",4.1
" ","2020Q1",4.8
" ","2020Q2",4.0
" ","2020Q3",5.6
" ","2020Q4",5.3
" ","2021Q1",5.3
" ","2021Q2",4.1
" ","2021Q3",3.1
" ","2021Q4",3.0
" ","2022Q1",3.6
" ","2022Q2",3.4
" ","2022Q3",3.3
"Waikato","1986Q1",4.7
" ","1986Q2",5.1
" ","1986Q3",6.1
" ","1986Q4",5.8
" ","1987Q1",5.1
" ","1987Q2",4.9
" ","1987Q3",4.4
" ","1987Q4",5.3
" ","1988Q1",6.2
" ","1988Q2",6.1
" ","1988Q3",5.8
" ","1988Q4",5.9
" ","1989Q1",7.0
" ","1989Q2",8.5
" ","1989Q3",7.9
" ","1989Q4",9.1
" ","1990Q1",7.8
" ","1990Q2",8.6
" ","1990Q3",8.3
" ","1990Q4",9.5
" ","1991Q1",10.7
" ","1991Q2",10.8
" ","1991Q3",11.6
" ","1991Q4",10.9
" ","1992Q1",12.2
" ","1992Q2",11.2
" ","1992Q3",11.0
" ","1992Q4",10.5
" ","1993Q1",12.2
" ","1993Q2",12.1
" ","1993Q3",9.6
" ","1993Q4",9.7
" ","1994Q1",9.8
" ","1994Q2",9.4
" ","1994Q3",7.7
" ","1994Q4",7.8
" ","1995Q1",8.8
" ","1995Q2",6.8
" ","1995Q3",6.4
" ","1995Q4",6.6
" ","1996Q1",8.2
" ","1996Q2",6.5
" ","1996Q3",7.5
" ","1996Q4",6.5
" ","1997Q1",8.3
" ","1997Q2",7.5
" ","1997Q3",6.7
" ","1997Q4",7.4
" ","1998Q1",8.3
" ","1998Q2",8.3
" ","1998Q3",8.4
" ","1998Q4",9.2
" ","1999Q1",10.3
" ","1999Q2",8.7
" ","1999Q3",7.6
" ","1999Q4",6.4
" ","2000Q1",7.9
" ","2000Q2",5.9
" ","2000Q3",6.2
" ","2000Q4",6.1
" ","2001Q1",6.6
" ","2001Q2",6.0
" ","2001Q3",5.9
" ","2001Q4",6.3
" ","2002Q1",6.3
" ","2002Q2",4.9
" ","2002Q3",5.6
" ","2002Q4",5.6
" ","2003Q1",5.7
" ","2003Q2",5.2
" ","2003Q3",3.3
" ","2003Q4",4.4
" ","2004Q1",4.0
" ","2004Q2",3.1
" ","2004Q3",2.9
" ","2004Q4",3.2
" ","2005Q1",4.2
" ","2005Q2",4.9
" ","2005Q3",3.9
" ","2005Q4",4.2
" ","2006Q1",4.5
" ","2006Q2",2.9
" ","2006Q3",3.8
" ","2006Q4",2.8
" ","2007Q1",4.4
" ","2007Q2",3.7
" ","2007Q3",3.3
" ","2007Q4",3.3
" ","2008Q1",4.1
" ","2008Q2",4.0
" ","2008Q3",4.4
" ","2008Q4",4.4
" ","2009Q1",5.7
" ","2009Q2",6.6
" ","2009Q3",6.0
" ","2009Q4",5.8
" ","2010Q1",5.2
" ","2010Q2",5.7
" ","2010Q3",6.6
" ","2010Q4",5.7
" ","2011Q1",6.9
" ","2011Q2",5.7
" ","2011Q3",6.7
" ","2011Q4",6.1
" ","2012Q1",8.1
" ","2012Q2",6.6
" ","2012Q3",5.9
" ","2012Q4",5.5
" ","2013Q1",5.5
" ","2013Q2",5.5
" ","2013Q3",5.8
" ","2013Q4",6.4
" ","2014Q1",6.3
" ","2014Q2",6.2
" ","2014Q3",5.7
" ","2014Q4",5.5
" ","2015Q1",6.0
" ","2015Q2",4.7
" ","2015Q3",6.3
" ","2015Q4",4.9
" ","2016Q1",5.6
" ","2016Q2",5.0
" ","2016Q3",4.6
" ","2016Q4",5.8
" ","2017Q1",5.1
" ","2017Q2",4.5
" ","2017Q3",3.8
" ","2017Q4",5.0
" ","2018Q1",4.9
" ","2018Q2",4.3
" ","2018Q3",3.4
" ","2018Q4",3.5
" ","2019Q1",4.3
" ","2019Q2",3.5
" ","2019Q3",3.9
" ","2019Q4",3.5
" ","2020Q1",4.8
" ","2020Q2",3.9
" ","2020Q3",3.9
" ","2020Q4",4.8
" ","2021Q1",5.4
" ","2021Q2",3.2
" ","2021Q3",3.4
" ","2021Q4",3.3
" ","2022Q1",3.9
" ","2022Q2",3.5
" ","2022Q3",3.3
"Bay of Plenty","1986Q1",4.3
" ","1986Q2",5.8
" ","1986Q3",4.7
" ","1986Q4",4.3
" ","1987Q1",5.5
" ","1987Q2",4.7
" ","1987Q3",4.2
" ","1987Q4",4.1
" ","1988Q1",5.6
" ","1988Q2",7.2
" ","1988Q3",9.7
" ","1988Q4",7.2
" ","1989Q1",9.9
" ","1989Q2",9.1
" ","1989Q3",8.3
" ","1989Q4",9.7
" ","1990Q1",10.1
" ","1990Q2",9.4
" ","1990Q3",8.3
" ","1990Q4",10.1
" ","1991Q1",13.5
" ","1991Q2",11.4
" ","1991Q3",12.9
" ","1991Q4",13.2
" ","1992Q1",13.4
" ","1992Q2",12.8
" ","1992Q3",12.9
" ","1992Q4",12.6
" ","1993Q1",13.5
" ","1993Q2",10.6
" ","1993Q3",9.7
" ","1993Q4",11.8
" ","1994Q1",13.3
" ","1994Q2",10.7
" ","1994Q3",10.1
" ","1994Q4",9.7
" ","1995Q1",10.1
" ","1995Q2",9.6
" ","1995Q3",7.0
" ","1995Q4",8.3
" ","1996Q1",9.3
" ","1996Q2",6.6
" ","1996Q3",8.1
" ","1996Q4",9.3
" ","1997Q1",10.6
" ","1997Q2",9.1
" ","1997Q3",8.3
" ","1997Q4",9.1
" ","1998Q1",9.9
" ","1998Q2",12.2
" ","1998Q3",11.2
" ","1998Q4",11.8
" ","1999Q1",11.9
" ","1999Q2",10.9
" ","1999Q3",9.2
" ","1999Q4",8.6
" ","2000Q1",7.5
" ","2000Q2",8.9
