﻿Quarter,Men,Women,Total
Sep-06,3.6,4.2,3.9
Dec-06,3.5,4.1,3.8
Mar-07,3.6,4.2,3.9
Jun-07,3.3,4,3.6
Sep-07,3.2,3.9,3.6
Dec-07,3.3,3.4,3.4
Mar-08,3.6,4,3.8
Jun-08,3.8,3.8,3.8
Sep-08,4.1,4,4.1
Dec-08,4.3,4.6,4.4
Mar-09,5.1,4.9,5
Jun-09,5.6,6,5.8
Sep-09,6.3,6,6.2
Dec-09,6.6,6.5,6.6
Mar-10,5.6,6.3,5.9
Jun-10,6.7,6.5,6.6
Sep-10,5.6,6.6,6.1
Dec-10,6,6.5,6.2
Mar-11,5.7,6.4,6
Jun-11,6,6.1,6.1
Sep-11,5.6,6.3,6
Dec-11,6.1,6,6.1
Mar-12,6.1,6.7,6.4
Jun-12,6.2,6.7,6.4
Sep-12,6.6,6.9,6.7
Dec-12,6,6.7,6.3
Mar-13,5.2,6.5,5.8
Jun-13,5.5,6.5,6
Sep-13,5.5,6.2,5.8
Dec-13,5,6.4,5.7
Mar-14,5.1,6.1,5.6
Jun-14,4.6,6,5.3
Sep-14,4.6,6.1,5.3
Dec-14,4.8,6.3,5.5
Mar-15,5.2,5.9,5.5
Jun-15,4.8,6.3,5.5
Sep-15,5.3,6.1,5.7
Dec-15,4.7,5.3,5
Mar-16,5,5.6,5.3
Jun-16,4.7,5.5,5.1
Sep-16,4.7,5.3,5
Dec-16,4.8,5.8,5.3
Mar-17,4.3,5.6,4.9
Jun-17,4.8,4.9,4.8
Sep-17,4.1,5.4,4.8
Dec-17,4,5,4.5
Mar-18,3.9,4.8,4.4
Jun-18,4.4,4.8,4.6
Sep-18,4,4,4
Dec-18,4.4,4.2,4.3
Mar-19,3.8,4.5,4.2
Jun-19,3.8,4.4,4
Sep-19,3.8,4.5,4.2
Dec-19,3.8,4.3,4
Mar-20,4,4.4,4.2
Jun-20,3.7,4.6,4.1
Sep-20,4.8,5.8,5.3
Dec-20,4.5,5.3,4.8
Mar-21,4.6,4.6,4.6
Jun-21,3.8,4.2,4
Sep-21,3.3,3.4,3.4
Dec-21,3.1,3.3,3.2
Mar-22,3.1,3.3,3.2
