"Labour Force Status by Sex by Age Group (Qrtly-Mar/Jun/Sep/Dec)",""
"","Total Both Sexes"
" ","Total All Ages"
" ","Unemployment Rate"
"1986Q1",4.4
"1986Q2",4.1
"1986Q3",4.1
"1986Q4",4.1
"1987Q1",4.3
"1987Q2",4.2
"1987Q3",4.1
"1987Q4",4.3
"1988Q1",5.2
"1988Q2",5.5
"1988Q3",6.3
"1988Q4",6.2
"1989Q1",7.4
"1989Q2",7.4
"1989Q3",7.2
"1989Q4",7.1
"1990Q1",7.5
"1990Q2",7.6
"1990Q3",8.0
"1990Q4",8.8
"1991Q1",10.2
"1991Q2",10.3
"1991Q3",11.0
"1991Q4",10.9
"1992Q1",11.4
"1992Q2",10.3
"1992Q3",10.4
"1992Q4",10.5
"1993Q1",10.5
"1993Q2",10.0
"1993Q3",9.3
"1993Q4",9.4
"1994Q1",9.7
"1994Q2",8.4
"1994Q3",7.8
"1994Q4",7.5
"1995Q1",7.1
"1995Q2",6.3
"1995Q3",6.1
"1995Q4",6.3
"1996Q1",6.7
"1996Q2",6.1
"1996Q3",6.3
"1996Q4",6.1
"1997Q1",7.0
"1997Q2",6.7
"1997Q3",6.8
"1997Q4",6.8
"1998Q1",7.8
"1998Q2",7.8
"1998Q3",7.5
"1998Q4",7.8
"1999Q1",7.8
"1999Q2",7.3
"1999Q3",6.8
"1999Q4",6.2
"2000Q1",6.8
"2000Q2",6.3
"2000Q3",5.9
"2000Q4",5.6
"2001Q1",5.8
"2001Q2",5.4
"2001Q3",5.2
"2001Q4",5.4
"2002Q1",5.7
"2002Q2",5.2
"2002Q3",5.4
"2002Q4",4.9
"2003Q1",5.4
"2003Q2",4.7
"2003Q3",4.4
"2003Q4",4.6
"2004Q1",4.7
"2004Q2",4.1
"2004Q3",3.7
"2004Q4",3.6
"2005Q1",4.3
"2005Q2",3.7
"2005Q3",3.7
"2005Q4",3.6
"2006Q1",4.5
"2006Q2",3.6
"2006Q3",3.7
"2006Q4",3.6
"2007Q1",4.2
"2007Q2",3.5
"2007Q3",3.4
"2007Q4",3.2
"2008Q1",4.2
"2008Q2",3.7
"2008Q3",3.9
"2008Q4",4.3
"2009Q1",5.4
"2009Q2",5.6
"2009Q3",6.1
"2009Q4",6.4
"2010Q1",6.4
"2010Q2",6.4
"2010Q3",6.0
"2010Q4",6.1
"2011Q1",6.4
"2011Q2",5.9
"2011Q3",5.9
"2011Q4",5.9
"2012Q1",6.7
"2012Q2",6.2
"2012Q3",6.7
"2012Q4",6.3
"2013Q1",6.1
"2013Q2",5.9
"2013Q3",5.8
"2013Q4",5.6
"2014Q1",5.9
"2014Q2",5.1
"2014Q3",5.2
"2014Q4",5.5
"2015Q1",5.8
"2015Q2",5.4
"2015Q3",5.5
"2015Q4",4.9
"2016Q1",5.5
"2016Q2",4.9
"2016Q3",4.9
"2016Q4",5.2
"2017Q1",5.2
"2017Q2",4.7
"2017Q3",4.6
"2017Q4",4.4
"2018Q1",4.6
"2018Q2",4.4
"2018Q3",3.9
"2018Q4",4.4
"2019Q1",4.4
"2019Q2",3.9
"2019Q3",4.0
"2019Q4",4.1
"2020Q1",4.5
"2020Q2",3.9
"2020Q3",5.1
"2020Q4",4.9
"2021Q1",4.9
"2021Q2",3.9
"2021Q3",3.2
"2021Q4",3.2
"2022Q1",3.4
"2022Q2",3.2
"Table information:"
"Units:"
"Unemployment Rate: Percent, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF031AA"
""
"Last updated:"
"Unemployment Rate: 03 August 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
